[0, 'video_1.mp4', '21.1684%', '18:07:10', '2021-05-09', '']
[0, 'video_1.mp4', '20.3908%', '18:07:10', '2021-05-09', '']
[0, 'video_1.mp4', '20.4105%', '18:07:11', '2021-05-09', '']
[0, 'video_1.mp4', '19.8913%', '18:07:11', '2021-05-09', '']
[0, 'video_1.mp4', '20.5778%', '18:07:11', '2021-05-09', '']
[0, 'video_1.mp4', '20.5898%', '18:07:12', '2021-05-09', '']
[0, 'video_1.mp4', '21.1320%', '18:07:12', '2021-05-09', '']
[0, 'video_1.mp4', '20.9114%', '18:07:12', '2021-05-09', '']
[0, 'video_1.mp4', '20.9072%', '18:07:13', '2021-05-09', '']
[0, 'video_1.mp4', '19.8380%', '18:07:13', '2021-05-09', '']
[0, 'video_1.mp4', '19.6477%', '18:07:13', '2021-05-09', '']
[0, 'video_1.mp4', '19.6710%', '18:07:14', '2021-05-09', '']
[0, 'video_1.mp4', '20.3999%', '18:07:14', '2021-05-09', '']
[0, 'video_1.mp4', '20.4822%', '18:07:14', '2021-05-09', '']
[0, 'video_1.mp4', '20.5136%', '18:07:15', '2021-05-09', '']
[0, 'video_1.mp4', '19.9707%', '18:07:15', '2021-05-09', '']
[0, 'video_1.mp4', '19.5852%', '18:07:15', '2021-05-09', '']
[0, 'video_1.mp4', '21.1684%', '18:07:17', '2021-05-09', '']
[0, 'video_1.mp4', '20.3908%', '18:07:18', '2021-05-09', '']
[0, 'video_1.mp4', '20.4105%', '18:07:18', '2021-05-09', '']
[0, 'video_1.mp4', '19.8913%', '18:07:18', '2021-05-09', '']
[0, 'video_1.mp4', '20.5778%', '18:07:19', '2021-05-09', '']
[0, 'video_1.mp4', '20.5898%', '18:07:19', '2021-05-09', '']
[0, 'video_1.mp4', '21.1320%', '18:07:19', '2021-05-09', '']
[0, 'video_1.mp4', '20.9114%', '18:07:20', '2021-05-09', '']
[0, 'video_1.mp4', '20.9072%', '18:07:20', '2021-05-09', '']
[0, 'video_1.mp4', '19.8380%', '18:07:20', '2021-05-09', '']
[0, 'video_1.mp4', '19.6477%', '18:07:21', '2021-05-09', '']
[0, 'video_1.mp4', '19.6710%', '18:07:21', '2021-05-09', '']
[0, 'video_1.mp4', '20.3999%', '18:07:21', '2021-05-09', '']
[0, 'video_1.mp4', '20.4822%', '18:07:22', '2021-05-09', '']
[0, 'video_1.mp4', '21.1684%', '18:18:01', '2021-05-09', '']
[0, 'video_1.mp4', '20.3908%', '18:18:01', '2021-05-09', '']
[0, 'video_1.mp4', '20.4105%', '18:18:01', '2021-05-09', '']
[0, 'video_1.mp4', '19.8913%', '18:18:02', '2021-05-09', '']
[0, 'video_1.mp4', '20.5778%', '18:18:02', '2021-05-09', '']
[0, 'video_1.mp4', '20.5898%', '18:18:02', '2021-05-09', '']
[0, 'video_1.mp4', '21.1320%', '18:18:03', '2021-05-09', '']
[0, 'video_1.mp4', '20.9114%', '18:18:03', '2021-05-09', '']
[0, 'video_1.mp4', '20.9072%', '18:18:03', '2021-05-09', '']
[0, 'video_1.mp4', '19.8380%', '18:18:04', '2021-05-09', '']
[0, 'video_1.mp4', '19.6477%', '18:18:04', '2021-05-09', '']
[0, 'video_1.mp4', '19.6710%', '18:18:04', '2021-05-09', '']
[0, 'video_1.mp4', '20.3999%', '18:18:04', '2021-05-09', '']
[0, 'video_1.mp4', '20.4822%', '18:18:05', '2021-05-09', '']
[0, 'video_1.mp4', '20.5136%', '18:18:05', '2021-05-09', '']
[0, 'video_1.mp4', '19.9707%', '18:18:05', '2021-05-09', '']
[0, 'video_1.mp4', '19.5852%', '18:18:06', '2021-05-09', '']
[0, 'video_1.mp4', '19.6096%', '18:18:06', '2021-05-09', '']
