['video_1.mp4', '21.1684%', datetime.datetime(2021, 5, 8, 23, 1, 35, 468159)]
['video_3.mp4', '21.1684%', datetime.datetime(2021, 5, 8, 23, 1, 35, 482835)]
['video_2.mp4', '21.1684%', datetime.datetime(2021, 5, 8, 23, 1, 35, 499851)]
['video_1.mp4', '20.3908%', datetime.datetime(2021, 5, 8, 23, 1, 35, 641222)]
['video_3.mp4', '20.3908%', datetime.datetime(2021, 5, 8, 23, 1, 35, 656234)]
['video_2.mp4', '20.3908%', datetime.datetime(2021, 5, 8, 23, 1, 35, 673248)]
['video_1.mp4', '20.4105%', datetime.datetime(2021, 5, 8, 23, 1, 35, 826052)]
['video_3.mp4', '20.4105%', datetime.datetime(2021, 5, 8, 23, 1, 35, 843067)]
['video_2.mp4', '20.4105%', datetime.datetime(2021, 5, 8, 23, 1, 35, 859082)]
['video_1.mp4', '19.8913%', datetime.datetime(2021, 5, 8, 23, 1, 36, 14885)]
['video_3.mp4', '19.8913%', datetime.datetime(2021, 5, 8, 23, 1, 36, 31900)]
['video_2.mp4', '19.8913%', datetime.datetime(2021, 5, 8, 23, 1, 36, 46914)]
['video_1.mp4', '20.5778%', datetime.datetime(2021, 5, 8, 23, 1, 36, 203072)]
['video_3.mp4', '20.5778%', datetime.datetime(2021, 5, 8, 23, 1, 36, 219087)]
['video_2.mp4', '20.5778%', datetime.datetime(2021, 5, 8, 23, 1, 36, 235100)]
['video_1.mp4', '20.5898%', datetime.datetime(2021, 5, 8, 23, 1, 36, 391687)]
['video_3.mp4', '20.5898%', datetime.datetime(2021, 5, 8, 23, 1, 36, 407701)]
['video_2.mp4', '20.5898%', datetime.datetime(2021, 5, 8, 23, 1, 36, 423715)]
['video_1.mp4', '21.1320%', datetime.datetime(2021, 5, 8, 23, 1, 36, 580001)]
['video_3.mp4', '21.1320%', datetime.datetime(2021, 5, 8, 23, 1, 36, 597016)]
['video_2.mp4', '21.1320%', datetime.datetime(2021, 5, 8, 23, 1, 36, 613029)]
['video_1.mp4', '20.9114%', datetime.datetime(2021, 5, 8, 23, 1, 36, 770501)]
['video_3.mp4', '20.9114%', datetime.datetime(2021, 5, 8, 23, 1, 36, 786513)]
['video_2.mp4', '20.9114%', datetime.datetime(2021, 5, 8, 23, 1, 36, 801526)]
['video_1.mp4', '20.9072%', datetime.datetime(2021, 5, 8, 23, 1, 36, 962515)]
['video_3.mp4', '20.9072%', datetime.datetime(2021, 5, 8, 23, 1, 36, 976527)]
['video_2.mp4', '20.9072%', datetime.datetime(2021, 5, 8, 23, 1, 36, 991541)]
['video_1.mp4', '19.8380%', datetime.datetime(2021, 5, 8, 23, 1, 37, 145488)]
['video_3.mp4', '19.8380%', datetime.datetime(2021, 5, 8, 23, 1, 37, 162504)]
['video_2.mp4', '19.8380%', datetime.datetime(2021, 5, 8, 23, 1, 37, 177516)]
