[0, 'video.mp4', 20.3908, '15:57:15', '2021-05-10', '']
[0, 'video_1.mp4', 20.3908, '15:57:15', '2021-05-10', '']
[0, 'video_3.mp4', 20.3908, '15:57:15', '2021-05-10', '']
[0, 'video_2.mp4', 20.3908, '15:57:15', '2021-05-10', '']
[0, 'video.mp4', 19.8913, '15:57:18', '2021-05-10', '']
[0, 'video_1.mp4', 19.8913, '15:57:18', '2021-05-10', '']
[0, 'video_3.mp4', 19.8913, '15:57:18', '2021-05-10', '']
[0, 'video_2.mp4', 19.8913, '15:57:18', '2021-05-10', '']
[0, 'video_1.mp4', 20.5898, '15:57:21', '2021-05-10', '']
[0, 'video.mp4', 20.5898, '15:57:21', '2021-05-10', '']
[0, 'video_3.mp4', 20.5898, '15:57:21', '2021-05-10', '']
[0, 'video_2.mp4', 20.5898, '15:57:21', '2021-05-10', '']
[0, 'video.mp4', 20.9114, '15:57:24', '2021-05-10', '']

[0, 'video_3.mp4', 20.9114, '15:57:24', '2021-05-10', '']
[0, 'video_2.mp4', 20.9114, '15:57:24', '2021-05-10', '']
[0, 'video_1.mp4', 19.838, '15:57:27', '2021-05-10', '']
[0, 'video.mp4', 19.838, '15:57:27', '2021-05-10', '']

[0, 'video_2.mp4', 19.838, '15:57:27', '2021-05-10', '']
[0, 'video_1.mp4', 19.671, '15:57:30', '2021-05-10', '']
[0, 'video.mp4', 19.671, '15:57:30', '2021-05-10', '']
[0, 'video_2.mp4', 19.671, '15:57:30', '2021-05-10', '']
[0, 'video_3.mp4', 19.671, '15:57:30', '2021-05-10', '']
[0, 'video_1.mp4', 20.4822, '15:57:33', '2021-05-10', '']
[0, 'video.mp4', 20.4822, '15:57:33', '2021-05-10', '']
[0, 'video_3.mp4', 20.4822, '15:57:33', '2021-05-10', '']
[0, 'video_2.mp4', 20.4822, '15:57:33', '2021-05-10', '']
[0, 'video_1.mp4', 19.9707, '15:57:36', '2021-05-10', '']
[0, 'video.mp4', 19.9707, '15:57:36', '2021-05-10', '']
[0, 'video_3.mp4', 19.9707, '15:57:36', '2021-05-10', '']
[0, 'video_2.mp4', 19.9707, '15:57:36', '2021-05-10', '']
[0, 'video_1.mp4', 19.6096, '15:57:39', '2021-05-10', '']
[0, 'video.mp4', 19.6096, '15:57:39', '2021-05-10', '']
[0, 'video_2.mp4', 19.6096, '15:57:39', '2021-05-10', '']
[0, 'video_3.mp4', 19.6096, '15:57:39', '2021-05-10', '']
[0, 'video_1.mp4', 19.9273, '15:57:42', '2021-05-10', '']
[0, 'video.mp4', 19.9273, '15:57:42', '2021-05-10', '']
[0, 'video_3.mp4', 19.9273, '15:57:42', '2021-05-10', '']
[0, 'video_2.mp4', 19.9273, '15:57:42', '2021-05-10', '']
[0, 'video_1.mp4', 20.4938, '15:57:45', '2021-05-10', '']
[0, 'video.mp4', 20.4938, '15:57:45', '2021-05-10', '']
[0, 'video_2.mp4', 20.4938, '15:57:45', '2021-05-10', '']
[0, 'video_3.mp4', 20.4938, '15:57:45', '2021-05-10', '']
[0, 'video_1.mp4', 20.072, '15:57:48', '2021-05-10', '']
[0, 'video.mp4', 20.072, '15:57:48', '2021-05-10', '']
[0, 'video_3.mp4', 20.072, '15:57:48', '2021-05-10', '']
[0, 'video_2.mp4', 20.072, '15:57:48', '2021-05-10', '']
[0, 'video_1.mp4', 19.6237, '15:57:51', '2021-05-10', '']
[0, 'video.mp4', 19.6237, '15:57:51', '2021-05-10', '']
[0, 'video_3.mp4', 19.6237, '15:57:51', '2021-05-10', '']
[0, 'video_2.mp4', 19.6237, '15:57:51', '2021-05-10', '']
[0, 'video_2.mp4', 20.3908, '15:57:59', '2021-05-10', '']
[0, 'video_3.mp4', 20.3908, '15:57:59', '2021-05-10', '']
[0, 'video_1.mp4', 20.3908, '15:57:59', '2021-05-10', '']
[0, 'video.mp4', 20.3908, '15:57:59', '2021-05-10', '']
[0, 'video_3.mp4', 19.8913, '15:58:02', '2021-05-10', '']
[0, 'video.mp4', 19.8913, '15:58:02', '2021-05-10', '']
[0, 'video_1.mp4', 19.8913, '15:58:02', '2021-05-10', '']
[0, 'video_2.mp4', 19.8913, '15:58:02', '2021-05-10', '']
[0, 'video_1.mp4', 20.5898, '15:58:05', '2021-05-10', '']
[0, 'video_2.mp4', 20.5898, '15:58:05', '2021-05-10', '']
