[0, 'video_1.mp4', '21.1684%', '18:04:25', '2021-05-09', '']
[0, 'video_1.mp4', '20.3908%', '18:04:25', '2021-05-09', '']
[0, 'video_1.mp4', '20.4105%', '18:04:25', '2021-05-09', '']
[0, 'video_1.mp4', '19.8913%', '18:04:26', '2021-05-09', '']
[0, 'video_1.mp4', '20.5778%', '18:04:26', '2021-05-09', '']
[0, 'video_1.mp4', '20.5898%', '18:04:27', '2021-05-09', '']
[0, 'video_1.mp4', '21.1320%', '18:04:27', '2021-05-09', '']
[0, 'video_1.mp4', '20.9114%', '18:04:28', '2021-05-09', '']
[0, 'video_1.mp4', '20.9072%', '18:04:28', '2021-05-09', '']
[0, 'video_1.mp4', '19.8380%', '18:04:28', '2021-05-09', '']
[0, 'video_1.mp4', '19.6477%', '18:04:29', '2021-05-09', '']
[0, 'video_1.mp4', '19.6710%', '18:04:29', '2021-05-09', '']
[0, 'video_1.mp4', '20.3999%', '18:04:29', '2021-05-09', '']
[0, 'video_1.mp4', '20.4822%', '18:04:30', '2021-05-09', '']
[0, 'video_1.mp4', '20.5136%', '18:04:30', '2021-05-09', '']
[0, 'video_1.mp4', '19.9707%', '18:04:30', '2021-05-09', '']
[0, 'video_1.mp4', '19.5852%', '18:04:31', '2021-05-09', '']
[0, 'video_1.mp4', '19.6096%', '18:04:31', '2021-05-09', '']
[0, 'video_1.mp4', '19.4158%', '18:04:31', '2021-05-09', '']
[0, 'video_1.mp4', '19.9273%', '18:04:32', '2021-05-09', '']
[0, 'video_1.mp4', '19.9241%', '18:04:32', '2021-05-09', '']
[0, 'video_1.mp4', '20.4938%', '18:04:32', '2021-05-09', '']
[0, 'video_1.mp4', '20.0752%', '18:04:33', '2021-05-09', '']
[0, 'video_1.mp4', '20.0720%', '18:04:33', '2021-05-09', '']
[0, 'video_1.mp4', '19.6590%', '18:04:33', '2021-05-09', '']
[0, 'video_1.mp4', '19.6237%', '18:04:34', '2021-05-09', '']
[0, 'video_1.mp4', '19.6223%', '18:04:34', '2021-05-09', '']
[0, 'video_1.mp4', '20.1338%', '18:04:34', '2021-05-09', '']
[0, 'video_1.mp4', '20.2344%', '18:04:35', '2021-05-09', '']
[0, 'video_1.mp4', '20.2510%', '18:04:35', '2021-05-09', '']
[0, 'video_1.mp4', '19.3848%', '18:04:35', '2021-05-09', '']
[0, 'video_1.mp4', '19.1122%', '18:04:36', '2021-05-09', '']
[0, 'video_1.mp4', '19.1190%', '18:04:36', '2021-05-09', '']
[0, 'video_1.mp4', '19.0777%', '18:04:36', '2021-05-09', '']
[0, 'video_1.mp4', '19.9788%', '18:04:37', '2021-05-09', '']
[0, 'video_1.mp4', '20.0148%', '18:04:37', '2021-05-09', '']
[0, 'video_1.mp4', '20.1070%', '18:04:37', '2021-05-09', '']
[0, 'video_1.mp4', '19.1772%', '18:04:38', '2021-05-09', '']
[0, 'video_1.mp4', '19.1624%', '18:04:38', '2021-05-09', '']
[0, 'video_1.mp4', '18.7522%', '18:04:38', '2021-05-09', '']
[0, 'video_1.mp4', '18.9901%', '18:04:39', '2021-05-09', '']
[0, 'video_1.mp4', '19.0067%', '18:04:39', '2021-05-09', '']
[0, 'video_1.mp4', '19.9262%', '18:04:39', '2021-05-09', '']
[0, 'video_1.mp4', '19.6481%', '18:04:40', '2021-05-09', '']
[0, 'video_1.mp4', '19.6590%', '18:04:40', '2021-05-09', '']
[0, 'video_1.mp4', '21.1684%', '18:05:10', '2021-05-09', '']
[0, 'video_1.mp4', '20.3908%', '18:05:10', '2021-05-09', '']
[0, 'video_1.mp4', '20.4105%', '18:05:11', '2021-05-09', '']
[0, 'video_1.mp4', '19.8913%', '18:05:11', '2021-05-09', '']
[0, 'video_1.mp4', '20.5778%', '18:05:11', '2021-05-09', '']
[0, 'video_1.mp4', '20.5898%', '18:05:12', '2021-05-09', '']
[0, 'video_1.mp4', '21.1320%', '18:05:12', '2021-05-09', '']
[0, 'video_1.mp4', '20.9114%', '18:05:12', '2021-05-09', '']
[0, 'video_1.mp4', '20.9072%', '18:05:13', '2021-05-09', '']
[0, 'video_1.mp4', '19.8380%', '18:05:13', '2021-05-09', '']
[0, 'video_1.mp4', '19.6477%', '18:05:13', '2021-05-09', '']
[0, 'video_1.mp4', '19.6710%', '18:05:14', '2021-05-09', '']
[0, 'video_1.mp4', '20.3999%', '18:05:14', '2021-05-09', '']
[0, 'video_1.mp4', '20.4822%', '18:05:14', '2021-05-09', '']
[0, 'video_1.mp4', '20.5136%', '18:05:15', '2021-05-09', '']
[0, 'video_1.mp4', '19.9707%', '18:05:15', '2021-05-09', '']
[0, 'video_1.mp4', '19.5852%', '18:05:15', '2021-05-09', '']
[0, 'video_1.mp4', '19.6096%', '18:05:16', '2021-05-09', '']
[0, 'video_1.mp4', '21.1684%', '18:05:18', '2021-05-09', '']
[0, 'video_1.mp4', '20.3908%', '18:05:18', '2021-05-09', '']
[0, 'video_1.mp4', '20.4105%', '18:05:18', '2021-05-09', '']
[0, 'video_1.mp4', '19.8913%', '18:05:19', '2021-05-09', '']
[0, 'video_1.mp4', '20.5778%', '18:05:19', '2021-05-09', '']
[0, 'video_1.mp4', '20.5898%', '18:05:19', '2021-05-09', '']
[0, 'video_1.mp4', '21.1320%', '18:05:20', '2021-05-09', '']
[0, 'video_1.mp4', '20.9114%', '18:05:20', '2021-05-09', '']
[0, 'video_1.mp4', '20.9072%', '18:05:20', '2021-05-09', '']
[0, 'video_1.mp4', '19.8380%', '18:05:21', '2021-05-09', '']
[0, 'video_1.mp4', '19.6477%', '18:05:21', '2021-05-09', '']
[0, 'video_1.mp4', '19.6710%', '18:05:21', '2021-05-09', '']
[0, 'video_1.mp4', '20.3999%', '18:05:22', '2021-05-09', '']
[0, 'video_1.mp4', '20.4822%', '18:05:22', '2021-05-09', '']
[0, 'video_1.mp4', '20.5136%', '18:05:22', '2021-05-09', '']
[0, 'video_1.mp4', '19.9707%', '18:05:23', '2021-05-09', '']
[0, 'video_1.mp4', '19.5852%', '18:05:23', '2021-05-09', '']
[0, 'video_1.mp4', '19.6096%', '18:05:23', '2021-05-09', '']
[0, 'video_1.mp4', '19.4158%', '18:05:24', '2021-05-09', '']
[0, 'video_1.mp4', '21.1684%', '18:05:28', '2021-05-09', '']
[0, 'video_1.mp4', '20.3908%', '18:05:28', '2021-05-09', '']
[0, 'video_1.mp4', '20.4105%', '18:05:28', '2021-05-09', '']
[0, 'video_1.mp4', '19.8913%', '18:05:29', '2021-05-09', '']
[0, 'video_1.mp4', '20.5778%', '18:05:29', '2021-05-09', '']
[0, 'video_1.mp4', '20.5898%', '18:05:29', '2021-05-09', '']
[0, 'video_1.mp4', '21.1320%', '18:05:30', '2021-05-09', '']
[0, 'video_1.mp4', '20.9114%', '18:05:30', '2021-05-09', '']
[0, 'video_1.mp4', '20.9072%', '18:05:30', '2021-05-09', '']
[0, 'video_1.mp4', '19.8380%', '18:05:31', '2021-05-09', '']
[0, 'video_1.mp4', '19.6477%', '18:05:31', '2021-05-09', '']
[0, 'video_1.mp4', '19.6710%', '18:05:31', '2021-05-09', '']
[0, 'video_1.mp4', '20.3999%', '18:05:32', '2021-05-09', '']
[0, 'video_1.mp4', '20.4822%', '18:05:32', '2021-05-09', '']
[0, 'video_1.mp4', '20.5136%', '18:05:32', '2021-05-09', '']
[0, 'video_1.mp4', '19.9707%', '18:05:33', '2021-05-09', '']
[0, 'video_1.mp4', '19.5852%', '18:05:33', '2021-05-09', '']
[0, 'video_1.mp4', '19.6096%', '18:05:33', '2021-05-09', '']
[0, 'video_1.mp4', '19.4158%', '18:05:34', '2021-05-09', '']
[0, 'video_1.mp4', '19.9273%', '18:05:34', '2021-05-09', '']
[0, 'video_1.mp4', '19.9241%', '18:05:34', '2021-05-09', '']
[0, 'video_1.mp4', '20.4938%', '18:05:35', '2021-05-09', '']
[0, 'video_1.mp4', '20.0752%', '18:05:35', '2021-05-09', '']
